-1.#QNAN -1.#QNAN -1.#QNAN 1.70081e-040 9.47362e-041 0.00797839 0.00303519
-0.0829986 -0.130026 0.0126775 -0.0169053 -0.000746096 -0.0151637 0.00524432
-0.112291 -0.102966 -0.000642491 -0.0176053 0.0087659 -0.0109887 0.00553832
-0.0830106 -0.114114 0.0183895 -0.0171053 0.0052659 -0.0118137 0.00228432
-0.0934386 -0.114126 -0.0019625 -0.0171553 0.0057659 -0.0120137 0.00707832
-0.0919386 -0.114774 0.0047175 -0.0166053 0.0058979 -0.00386873 0.00532432
-0.0979649 -0.127471 0.00917101 -0.0229999 0.00645174 -0.0211883 0.00261206
-0.127113 -0.128479 0.022395 0.000950085 0.00643974 -0.0170733 0.00740206
-0.0977609 -0.129919 0.00301101 -0.00729992 -6.02579e-005 -0.00953331 0.00569206
-0.108189 -0.131359 0.00969101 -0.00499992 0.00943974 -0.0135033 0.00598206
-0.107481 -0.132799 0.00872301 -0.00454992 0.00607174 -0.0130783 0.00272806
-0.0871169 -0.113947 0.00837101 -0.0208499 0.00655974 -0.0132783 0.00752206
-0.116481 -0.143959 0.021403 -0.0127999 0.00655974 -0.0132583 0.00251806
-0.0856169 -0.113815 0.002403 -0.0140999 0.00669174 -0.0134783 0.00756206
-0.0961889 -0.145399 0.009051 -0.0140999 4.77419e-005 -0.0136783 0.00585206
-0.0938969 -0.116047 0.008083 -0.0135499 0.00955974 -0.0222233 0.00280406
-0.0658793 -0.138601 -0.00702394 -0.00370991 0.0103337 -0.00831006 0.00633196
-0.0939473 -0.158473 -0.0202479 -0.0208599 0.0108577 -0.0162551 0.00130396
-0.0624353 -0.131341 0.0114641 0.00349009 0.00434567 -0.0152251 0.00630796
-0.0714953 -0.142489 -0.00185594 -0.0215599 0.00734567 -0.0152051 0.00460196
-0.0888473 -0.142501 0.0131761 -0.0128099 0.0136097 -0.0154251 0.00484796
-0.0588353 -0.122857 -0.0195279 -0.0308599 0.00408567 -0.00728006 0.00155396
-0.0686873 -0.15294 -0.00716794 -0.0238599 0.00758567 -0.0191551 0.00635196
-0.0453833 -0.143089 0.00354406 0.00799008 0.000453666 -0.00665506 0.00459796
-0.0725153 -0.125809 -0.00242395 -0.00650992 0.00996567 -0.00246506 0.00489196
-0.0605753 -0.155029 -0.0151279 -0.0203099 0.00646567 -0.0221001 0.00488796
-0.0643856 -0.136961 -0.00398913 -0.00291991 0.00994985 -0.0114992 0.00414276
-0.0433016 -0.168041 -0.0114371 -0.00451991 0.0100099 -0.0165592 0.00415476
-0.0703616 -0.138689 -0.0107251 -0.00396991 0.0101299 -0.0242592 0.00415476
-0.0584216 -0.149909 0.00195487 -0.00401992 0.00348585 -0.0040192 0.00415476
-0.0389816 -0.149129 -0.00401313 -0.00346992 0.00649785 -0.0205092 0.00415476
-0.0660416 -0.149849 -0.0167171 -0.00351992 0.00599785 -0.0154892 0.00415476
-0.0338096 -0.150569 -0.0110051 0.0138301 0.00586585 -0.0244592 0.00415476
-0.0632336 -0.151289 0.000674867 -0.0268199 0.00587785 -0.0127842 0.00415476
-0.0309296 -0.152009 -0.0186451 -0.0105199 0.00587785 -0.0087942 0.00415476
-0.0595616 -0.132437 0.0143869 0.00323008 0.00574585 -0.0202842 0.00415476
-0.0318499 -0.172947 -0.0191726 -0.0106759 0.0153725 -0.0217707 0.0034065
-0.0602659 -0.143235 0.00205143 -0.00227591 0.0057885 -0.0140907 0.0034185
-0.0288259 -0.174747 -0.00494857 -0.00352591 0.0026565 -0.0261857 0.0034185
-0.0573859 -0.144603 -0.00430057 -0.0203259 0.0118005 -0.00532067 0.0033745
-0.0259459 -0.155895 -0.0176206 -0.0133259 0.0082885 -0.0132457 0.0033785
-0.0545059 -0.154323 0.00141143 0.00172408 0.0021565 -0.0284857 0.0033785
-0.0230659 -0.155115 0.00776343 -0.0225759 0.0050365 -0.0211857 0.0033785
-0.0516259 -0.155835 -0.0102686 -0.0137759 0.0111805 -0.0145107 0.0033345
-0.0404779 -0.135471 -0.00326857 0.00122408 0.0015365 -0.0182407 0.0033385
-0.0201739 -0.164835 -0.00426857 -0.0230759 0.0115485 -0.00927066 0.0033385
-0.0517932 -0.165508 0.00114088 -0.00493591 0.00440835 -0.0354036 0.00254316
